Широко распространён в Австралии , где его выращивают на срезку .	ru:O ru:O ru:O ru:B-LOC ru:O ru:O ru:O ru:O ru:O ru:O ru:O
رهبر گروه بیلی جو آرمسترانگ می باشد .	fa:O fa:O fa:B-PER fa:I-PER fa:I-PER fa:O fa:O fa:O
تغییرمسیر جاده ئی۵۷۳ اروپا	fa:O fa:B-ORG fa:I-ORG fa:I-ORG
' '' آفاق تونس '' '	ar:O ar:O ar:B-ORG ar:I-ORG ar:O ar:O
' '' Capital '' '	pt:O pt:O pt:B-LOC pt:O pt:O
Karijeru je počeo u Flamengu .	bs:O bs:O bs:O bs:O bs:B-ORG bs:O
تغییرمسیر مسافر ( مجموعه تلویزیونی )	fa:O fa:B-ORG fa:I-ORG fa:I-ORG fa:I-ORG fa:I-ORG
De linjer , hvis numre ender på 00 , kører på tværs af S-togsnettet , mens de øvrige linjer , hvis numre ender på 50 , er enkelt- eller dobbeltradiale via Københavns centrum .	da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:B-ORG da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:B-LOC da:O da:O
Xa lộ Liên tiểu bang 85 tại Petersburg , Virginia	vi:B-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:O vi:B-LOC vi:I-LOC vi:I-LOC
You Do n't Love Me Anymore ''	it:B-ORG it:I-ORG it:I-ORG it:I-ORG it:I-ORG it:I-ORG it:O
Narciso Agúndez Montaño	nl:B-PER nl:I-PER nl:I-PER
Објектот е забележан и во фотографското истражување спроведено од Паломарската опсерваторија во 1958 година , каде што се споменува во групата под број 65 .	mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:B-ORG mk:I-ORG mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O
ALIH Komune di departemen Indre-et-Loire	id:O id:B-LOC id:I-LOC id:I-LOC id:I-LOC
' '' Peru '' ' -	no:O no:O no:B-LOC no:O no:O no:O
Kasnije je prijestolnica prenesena u Kutaisi .	hr:O hr:O hr:O hr:O hr:O hr:B-LOC hr:O
Birger Magnusson ( d.1321 )	no:B-PER no:I-PER no:O no:O no:O
REDIRECCIÓN Andrew S. Tanenbaum	es:O es:B-PER es:I-PER es:I-PER
تحويل هرمزغان ( محافظة )	ar:O ar:B-LOC ar:I-LOC ar:I-LOC ar:I-LOC
Tentera Laut Amerika Syarikat	ms:B-ORG ms:I-ORG ms:I-ORG ms:I-ORG
Jakers ! Aventurile lui Piggley Winks	ro:B-ORG ro:I-ORG ro:I-ORG ro:I-ORG ro:I-ORG ro:I-ORG
Austrosaure ( ''Austrosaurus '' )	ca:B-LOC ca:O ca:O ca:O ca:O
تغییرمسیر بنفشه‌درق ( چاراویماق )	fa:O fa:B-LOC fa:I-LOC fa:I-LOC fa:I-LOC
' '' İscehisar '' '	tr:O tr:O tr:B-LOC tr:O tr:O
Ronda del Litoral	ca:B-ORG ca:I-ORG ca:I-ORG
Tentoraz to bolo proti tímu AC Arles-Avignon a víťazstve 4 .	sk:O sk:O sk:O sk:O sk:O sk:B-ORG sk:I-ORG sk:O sk:O sk:O sk:O
